ID,date,alarm
21261001,2012/10/11,电压断相
21261001,2012/10/10,A相电流过负荷
21261001,2010/9/3,电流不平衡
21261001,2010/9/6,C相电流过负荷
21261001,2010/5/13,电流不平衡
21261001,2010/5/12,电压缺相
21261001,2010/2/15,电流不平衡
21261001,2010/9/16,C相电流过负荷
21261001,2010/9/17,A相电流过负荷
21261001,2011/9/15,C相电流过负荷
21261001,2010/8/11,电压断相
21261001,2010/9/16,C相电流过负荷
21261001,2010/9/17,电流不平衡
21261001,2010/7/20,电压断相
18403001,2010/7/21,C相电流过负荷
18403001,2010/7/22,电压缺相
18403001,2010/7/25,C相电流过负荷
21880001,2010/11/4,电流不平衡
21880001,2010/11/1,A相电流过负荷
21880001,2011/1/9,C相电流过负荷
16345001,2010/7/15,电压缺相
16940001,2010/10/24,电流不平衡
16429001,2010/2/28,电压断相
16429001,2010/3/1,A相电流过负荷
17059001,2011/12/15,电流不平衡
