ID,date,ele,loss
21261001,2010/9/1,1091.5,0.169615385
21261001,2010/9/2,1079.5,0.145555556
21261001,2010/9/3,858,0.15104811
21261001,2010/9/6,883.5,0.162777778
21261001,2010/9/7,1027.5,0.133186275
21261001,2010/9/8,997,0.159571429
21261001,2010/9/9,1022,0.184799197
21261001,2010/9/10,991,0.153267974
21261001,2010/9/13,788.5,0.154878472
21261001,2010/9/14,792.5,0.154880952
21261001,2010/9/15,923.5,0.156584158
21261001,2010/9/16,915.5,0.162028112
21261001,2010/9/17,961,0.166650485
21261001,2010/9/20,1160.5,0.156169872
21261001,2010/9/21,921,0.160503472
21261001,2010/9/27,957.5,0.180379538
21261001,2010/9/28,1048,0.18007716
21261001,2010/9/29,889,0.164753086
21261001,2010/9/30,668,0.165814815
21261001,2010/10/8,562,0.172526882
21261001,2010/10/11,545,0.177148594
21261001,2010/10/12,685,0.175806452
21261001,2010/10/13,762,0.170726073
21261001,2010/10/14,837.5,0.208253968
21261001,2010/10/15,635.5,0.180618557
21261001,2010/10/18,693.5,0.207981481
21261001,2010/10/19,660,0.188989362
21261001,2010/10/20,540.5,0.184329897
21261001,2010/10/21,445,0.180349794
21261001,2010/10/22,416,0.179277778
21261001,2010/10/25,507,0.186143411
21261001,2010/10/26,416.5,0.181382114
21261001,2010/10/27,414.5,0.211829268
21261001,2010/10/28,363,0.244156118
21261001,2010/10/29,353.5,0.226344697
21261001,2010/11/1,363,0.221923077
21261001,2010/11/3,400.5,0.231142322
21261001,2010/11/4,368.5,0.243218391
21261001,2010/11/5,364,0.269537037
21261001,2010/11/8,378,0.194555556
21261001,2010/11/9,390.5,0.229688645
21261001,2010/11/10,400,0.220326087
21261001,2010/11/11,351,0.219265233
21261001,2010/11/12,336,0.248773946
21261001,2010/11/15,401,0.199438406
21261001,2010/11/16,445,0.206473684
21261001,2010/11/17,447,0.203799283
21261001,2010/11/18,422.5,0.238838951
21261001,2010/11/19,438.5,0.205163043
