事件序号,事件起始编号,事件终止编号
1,3,3
2,57,57
3,382,385
4,405,405
5,408,408
6,411,594
7,613,619
8,660,766
9,773,923
10,1026,1135
11,1140,1140
12,1142,1144
13,1259,1259
14,1346,1425
15,1445,1446
16,1451,1461
17,1482,1533
18,1572,1633
19,1642,1642
20,1660,1761
21,1877,1877
22,1880,1880
23,1882,1884
24,2069,2208
25,2221,2382
26,2386,2386
27,2452,2452
28,2455,2529
29,2534,2534
30,2547,2616
31,2719,2854
32,2904,2904
33,2906,2906
34,2908,2908
35,3059,3059
36,3191,3191
37,3208,3208
38,3240,3240
39,3349,3349
40,3352,3467
41,3473,3520
42,3570,3697
43,3736,3736
44,3745,3745
45,3820,3821
46,3959,3963
47,4017,4085
48,4106,4124
49,4130,4188
50,4212,4310
51,4314,4314
52,4316,4316
53,4318,4318
54,4904,4971
55,4974,5121
56,5124,5159
57,6218,6218
58,6237,6396
59,6450,6551
60,6626,6700
61,6719,6771
62,6785,6882
63,6885,6885
64,6887,6887
65,7356,7476
66,7481,7489
67,7498,7498
68,7607,7702
69,7717,7888
70,7891,7891
71,7921,7934
72,8556,8567
73,8571,8571
74,8617,8778
75,8823,8870
76,8891,8986
77,9059,9059
78,9124,9124
79,9129,9141
80,9275,9333
81,9342,9393
82,9422,9503
83,9506,9508
84,9625,9625
85,9627,9627
86,9630,9632
87,9835,9974
88,9993,10089
89,10202,10202
90,10214,10214
91,10218,10218
92,10241,10312
93,10330,10366
94,10376,10510
95,10512,10519
96,10523,10525
97,10527,10527
98,10530,10533
99,10535,10540
100,10600,10709
101,10721,10786
102,10792,10918
103,11164,11164
104,11166,11166
105,11169,11169
106,11209,11320
107,11383,11470
108,11491,11566
109,11658,11658
110,11660,11843
111,12143,12358
112,12414,12421
113,12429,12445
114,12490,12593
115,12721,12726
116,12790,12790
117,12891,13198
118,13221,13265
119,13268,13289
120,13561,13561
121,13614,13640
122,13645,13725
123,13731,13905
124,13910,13910
125,13957,13961
126,14084,14237
127,14271,14439
128,14548,14548
129,14550,14550
130,14559,14559
131,14590,14686
132,14710,14710
133,14712,14826
134,15308,15308
135,15327,15327
136,15379,15387
137,15396,15408
138,15418,15473
139,15489,15687
140,15706,15708
141,15860,15863
142,15885,15886
143,16062,16163
144,16166,16172
145,16187,16236
146,16238,16365
147,16533,16554
148,16564,16564
149,16566,16582
150,16633,16633
151,16635,16635
152,16746,16746
153,16748,16753
154,16789,16901
155,16952,17048
156,17213,17227
157,17277,17277
158,17508,17540
159,17765,17765
160,17767,17768
161,17796,17797
162,17844,17847
163,17897,17897
164,17998,18142
165,18199,18325
166,18372,18372
167,18406,18453
168,18466,18471
169,18535,18653
170,18670,18745
171,18799,18799
172,18801,18801
